Tipo_aviso;Estado;Prioridad;Incidente;Estructura;Creacion;Inicio;Cierre;Serie;Norte;Este;Depto;Municipio;Vereda;Cia
INVASIÓN/EXPLANACION ;INIC GEAM AMPO;Semestre;2454670;19895035;2017-06-11 00:00:00;2017-06-11 00:00:00;1970-01-01 00:00:00;17428;868442,2081;733241,3665;VALLE DEL CAUCA;CALI;NAVARRO;Azul
VEGETACIÓN;COPL COND GERE;Semestre;1084214;19895153;2012-10-04 00:00:00;2012-10-04 00:00:00;2015-03-26 00:00:00;15617;812431,7292;720662,6615;CAUCA;BUENOS AIRES;SANTA ANA;Azul
VEGETACIÓN;INIC GEAM;Dos años;2396374;19895153;2018-08-23 00:00:00;2018-08-23 00:00:00;1970-01-01 00:00:00;15617;812431,7292;720662,6615;CAUCA;BUENOS AIRES;SANTA ANA;Azul
VEGETACIÓN;INIC GERE;Mes;1135239;19895153;2012-02-08 00:00:00;2012-02-08 00:00:00;2012-10-04 00:00:00;15617;812431,7292;720662,6615;CAUCA;BUENOS AIRES;SANTA ANA;Azul
VEGETACIÓN;CTER ENPT GERE;Trimestre;1459887;19895251;2011-04-10 00:00:00;2011-04-10 00:00:00;2014-10-17 00:00:00;24358;768181,0001;725874,5625;CAUCA;POPAYÁN;LAS PIEDRAS;Azul
VEGETACIÓN;CTER GERE;Año;2994111;19895566;2013-08-16 00:00:00;2013-08-23 00:00:00;2014-10-05 00:00:00;17039;642630,9104;635276,4008;NARIÑO;LA FLORIDA;SAN FRANCISCO;Azul
CONSTRUCCIONES;INIC GERE;Seis años;2973225;19895174;2014-01-09 00:00:00;2014-01-12 00:00:00;2017-12-27 00:00:00;15592;799883,9051;720642,3534;CAUCA;PIENDAMÓ;LOS PINOS;Azul
VEGETACIÓN;INIC GERE;Año;1364903;19895174;2011-07-09 00:00:00;2011-07-09 00:00:00;2012-01-14 00:00:00;15592;799883,9051;720642,3534;CAUCA;PIENDAMÓ;LOS PINOS;Azul
VEGETACIÓN;INIC TAMB GERE;Año;2420959;19893691;2018-01-28 00:00:00;2018-09-14 00:00:00;2019-04-28 00:00:00;15391;1050567,936;816264,6357;CALDAS;CHINCHINÁ;LA ESMERALDA;Azul
VEGETACIÓN;INIC TAMB GERE;Año;2420959;19893691;2018-01-28 00:00:00;2018-01-28 00:00:00;2019-04-28 00:00:00;15391;1050567,936;816264,6357;CALDAS;CHINCHINÁ;LA ESMERALDA;Azul
VEGETACIÓN;INIC GERE;Trimestre;1126061;19878390;2012-04-12 00:00:00;2012-04-12 00:00:00;2013-06-07 00:00:00;15239;1029158,702;808679,0497;RISARALDA;PEREIRA;COMBIA BAJA;Azul
VEGETACIÓN;INIC GERE;Trimestre;1425384;19895172;2011-05-10 00:00:00;2011-05-10 00:00:00;2011-07-10 00:00:00;15594;800796,0235;720650,0224;CAUCA;PIENDAMÓ;MATECAÑA;Azul
CONSTRUCCIONES;INIC GEAM;Semestre;1387613;19895172;2011-06-18 00:00:00;2011-06-18 00:00:00;2011-06-23 00:00:00;15594;800796,0235;720650,0224;CAUCA;PIENDAMÓ;MATECAÑA;Azul
VEGETACIÓN;COPL GERE;Año;2996164;19895172;2013-08-03 00:00:00;2013-08-03 00:00:00;2014-08-08 00:00:00;15594;800796,0235;720650,0224;CAUCA;PIENDAMÓ;MATECAÑA;Azul
VEGETACIÓN;CTER GERE;Mes;1648369;19895172;2010-01-02 00:00:00;2010-01-02 00:00:00;2011-08-18 00:00:00;15594;800796,0235;720650,0224;CAUCA;PIENDAMÓ;MATECAÑA;Azul
